2024-03-26 14:15:53,085 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Configure stats pid to 1613252
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Loading settings from /home/james/.config/wandb/settings
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Loading settings from /media/james/Projects/GitHub/DATA_340_NLP/Spring_2024/Lecture_Notebooks/wandb/settings
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_init.py:_log_setup():527] Logging user logs to /media/james/Projects/GitHub/DATA_340_NLP/Spring_2024/Lecture_Notebooks/wandb/run-20240326_141553-7l99cmcr/logs/debug.log
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_init.py:_log_setup():528] Logging internal logs to /media/james/Projects/GitHub/DATA_340_NLP/Spring_2024/Lecture_Notebooks/wandb/run-20240326_141553-7l99cmcr/logs/debug-internal.log
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_init.py:init():567] calling init triggers
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'batch_size': 128, 'epochs': 20}
2024-03-26 14:15:53,086 INFO    MainThread:1613252 [wandb_init.py:init():592] re-initializing run, found existing run on stack: pedpwb9w
2024-03-26 14:15:53,087 INFO    MainThread:1613252 [wandb_run.py:_finish():2052] finishing run jam-tuck/mnist-classification/pedpwb9w
2024-03-26 14:15:53,149 INFO    MainThread:1613252 [jupyter.py:save_history():474] saving 36 cells to _session_history.ipynb
2024-03-26 14:15:53,150 INFO    MainThread:1613252 [wandb_run.py:_config_callback():1347] config_cb ('_wandb', 'session_history') code/_session_history.ipynb None
2024-03-26 14:15:53,154 INFO    MainThread:1613252 [jupyter.py:_save_ipynb():384] looking for notebook: None
2024-03-26 14:15:53,154 INFO    MainThread:1613252 [wandb_init.py:_jupyter_teardown():455] cleaning up jupyter logic
2024-03-26 14:15:53,154 INFO    MainThread:1613252 [wandb_run.py:_atexit_cleanup():2292] got exitcode: 0
2024-03-26 14:15:53,154 INFO    MainThread:1613252 [wandb_run.py:_restore():2275] restore
2024-03-26 14:15:53,154 INFO    MainThread:1613252 [wandb_run.py:_restore():2281] restore done
2024-03-26 14:15:56,522 INFO    MainThread:1613252 [wandb_run.py:_footer_history_summary_info():3920] rendering history
2024-03-26 14:15:56,522 INFO    MainThread:1613252 [wandb_run.py:_footer_history_summary_info():3952] rendering summary
2024-03-26 14:15:56,525 INFO    MainThread:1613252 [wandb_run.py:_footer_sync_info():3879] logging synced files
2024-03-26 14:15:56,627 INFO    MainThread:1613252 [wandb_init.py:init():617] starting backend
2024-03-26 14:15:56,627 INFO    MainThread:1613252 [wandb_init.py:init():621] setting up manager
2024-03-26 14:15:56,628 INFO    MainThread:1613252 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-26 14:15:56,628 INFO    MainThread:1613252 [wandb_init.py:init():629] backend started and connected
2024-03-26 14:15:56,630 INFO    MainThread:1613252 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-03-26 14:15:56,630 INFO    MainThread:1613252 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-03-26 14:15:56,630 INFO    MainThread:1613252 [wandb_init.py:init():721] updated telemetry
2024-03-26 14:15:56,634 INFO    MainThread:1613252 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-03-26 14:15:57,741 INFO    MainThread:1613252 [wandb_run.py:_on_init():2344] communicating current version
2024-03-26 14:15:57,820 INFO    MainThread:1613252 [wandb_run.py:_on_init():2353] got version response 
2024-03-26 14:15:57,820 INFO    MainThread:1613252 [wandb_init.py:init():805] starting run threads in backend
2024-03-26 14:15:57,952 INFO    MainThread:1613252 [wandb_run.py:_console_start():2323] atexit reg
2024-03-26 14:15:57,953 INFO    MainThread:1613252 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-03-26 14:15:57,953 INFO    MainThread:1613252 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-03-26 14:15:57,953 INFO    MainThread:1613252 [wandb_run.py:_redirect():2268] Redirects installed.
2024-03-26 14:15:57,953 INFO    MainThread:1613252 [wandb_init.py:init():848] run started, returning control to user process
